number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dim_ff,params_dropout,params_lr,params_nhead,params_num_centroid_layers,params_num_cross_layers,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.20169004580974578,2026-05-04 18:12:22.704278,2026-05-04 18:46:12.919949,0 days 00:33:50.215671,256,128,128,0.05,0.001,4,3,3,0.001,0.22510089279174805,0.20890913109779358,COMPLETE
1,0.19105547454357147,2026-05-04 18:46:12.922798,2026-05-04 19:29:10.510653,0 days 00:42:57.587855,128,256,512,0.05,0.001,4,2,2,0.01,0.21333841258525849,0.1979006264066696,COMPLETE
2,0.22320534859657287,2026-05-04 19:29:10.512361,2026-05-04 19:44:45.199009,0 days 00:15:34.686648,128,128,128,0.05,0.001,8,2,3,0.01,0.22320534859657287,,PRUNED
3,0.230957402677536,2026-05-04 19:44:45.200132,2026-05-04 19:52:11.217933,0 days 00:07:26.017801,512,256,128,0.05,0.001,8,4,2,0.001,0.230957402677536,,PRUNED
4,0.27804749631881714,2026-05-04 19:52:11.219004,2026-05-04 19:59:11.318514,0 days 00:07:00.099510,1024,64,512,0.05,0.0005,4,2,1,0.01,0.27804749631881714,,PRUNED
5,0.25487990409851075,2026-05-04 19:59:11.319274,2026-05-04 20:08:25.322903,0 days 00:09:14.003629,256,64,256,0.05,0.01,4,2,2,0.01,0.25487990409851075,,PRUNED
6,12085234.6736,2026-05-04 20:08:25.324242,2026-05-04 20:26:11.417415,0 days 00:17:46.093173,128,256,256,0.1,0.01,8,4,2,0.001,12085234.6736,,PRUNED
7,0.1900001672744751,2026-05-04 20:26:11.418196,2026-05-04 21:21:43.115215,0 days 00:55:31.697019,128,128,512,0.1,0.0005,4,3,3,0.001,0.20869451778888704,0.19524504680633545,COMPLETE
8,0.18900069167613984,2026-05-04 21:21:43.117232,2026-05-04 22:12:17.563520,0 days 00:50:34.446288,128,256,256,0.05,0.0005,8,2,3,0.001,0.21089793567180634,0.19510348008155823,COMPLETE
9,0.2865408898067474,2026-05-04 22:12:17.571008,2026-05-04 22:24:36.472184,0 days 00:12:18.901176,128,64,128,0.1,0.0005,8,1,1,0.01,0.2865408898067474,,PRUNED
10,0.19700183420658113,2026-05-04 22:24:36.473248,2026-05-04 22:42:15.571195,0 days 00:17:39.097947,1024,256,256,0.0,0.0005,8,1,4,0.001,0.21228287623882294,0.19700183420658113,PRUNED
11,0.189882435297966,2026-05-04 22:42:15.571889,2026-05-04 23:36:51.670382,0 days 00:54:36.098493,128,128,512,0.1,0.0005,4,3,3,0.001,0.208508540225029,0.19506979431152344,COMPLETE
12,0.19593834537029267,2026-05-04 23:36:51.672464,2026-05-04 23:51:23.808099,0 days 00:14:32.135635,512,128,512,0.0,0.0005,4,3,3,0.001,0.21132631658554077,0.19593834537029267,PRUNED
13,0.20199027287960053,2026-05-04 23:51:23.809059,2026-05-05 00:28:52.045492,0 days 00:37:28.236433,128,128,256,0.1,0.0005,8,3,3,0.001,0.21546323999881745,0.20199027287960053,PRUNED
14,,2026-05-05 00:28:52.046217,2026-05-05 00:35:38.364418,0 days 00:06:46.318201,128,256,512,0.1,0.0005,4,2,4,0.001,,,FAIL
